id,grade,subject,q,a,w1,w2,w3
2069,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '보슬보슬 거랑비와 이슬비가 내려요.',거랑비 -> 가랑비,거랑비 -> 가랑이,틀린 글자가 없다.,가랑비 -> 거랑비
2070,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,책갈피,책갈비,책깔피,책칼피
2071,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '낙엽으로 예쁜 ____를 만들어요.',책갈피,책칼피,책갈비,책깔피
2072,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '낙엽으로 예쁜 책칼피를 만들어요.',책칼피 -> 책갈피,책칼피 -> 책갈비,틀린 글자가 없다.,책갈피 -> 책칼피
2073,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,콩닥콩닥,쿵덕쿵덕,공닥공닥,콩닥꽁닥
2074,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '발표할 때 가슴이 ____ 뛰었다.',콩닥콩닥,공닥공닥,콩닥꽁닥,쿵덕쿵덕
2075,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '발표할 때 가슴이 공닥공닥 뛰었다.',공닥공닥 -> 콩닥콩닥,공닥공닥 -> 콩닥꽁닥,틀린 글자가 없다.,콩닥콩닥 -> 공닥공닥
2076,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,거북선,거북성,꺼북선,거북썬
2077,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '이순신 장군님의 튼튼한 ____.',거북선,거북썬,거북성,꺼북선
2078,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '이순신 장군님의 튼튼한 거북썬.',거북썬 -> 거북선,거북썬 -> 거북성,틀린 글자가 없다.,거북선 -> 거북썬
2079,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,올록볼록,올록뽈록,올룩볼룩,올룩볼룩
2080,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '엠보싱 휴지는 ____ 껍데기 같아요.',올록볼록,올록뽈록,올룩볼룩,올룩볼룩
2081,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '엠보싱 휴지는 올록뽈록 껍데기 같아요.',올록뽈록 -> 올록볼록,올록뽈록 -> 올룩볼룩,틀린 글자가 없다.,올록볼록 -> 올록뽈록
2082,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,새콤달콤,새쿰달쿰,새콤달꼼,세콤달콤
2083,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '____ 보랏빛 포도가 맛있어요.',새콤달콤,새쿰달쿰,세콤달콤,새콤달꼼
2084,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '새쿰달쿰 보랏빛 포도가 맛있어요.',새쿰달쿰 -> 새콤달콤,새쿰달쿰 -> 세콤달콤,틀린 글자가 없다.,새콤달콤 -> 새쿰달쿰
2085,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,뒤뚱뒤뚱,디뚱디뚱,뒤뚱디뚱,뒤뚱뒤둥
2086,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '오리들은 ____ 걸으며 물가로 가요.',뒤뚱뒤뚱,뒤뚱뒤둥,디뚱디뚱,뒤뚱디뚱
2087,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '오리들은 뒤뚱뒤둥 걸으며 물가로 가요.',뒤뚱뒤둥 -> 뒤뚱뒤뚱,뒤뚱뒤둥 -> 디뚱디뚱,틀린 글자가 없다.,뒤뚱뒤뚱 -> 뒤뚱뒤둥
2088,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,차곡차곡,차곡짜곡,차국차국,자곡자곡
2089,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '바구니에 고구마를 ____ 담아요.',차곡차곡,자곡자곡,차국차국,차곡짜곡
2090,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '바구니에 고구마를 자곡자곡 담아요.',자곡자곡 -> 차곡차곡,자곡자곡 -> 차국차국,틀린 글자가 없다.,차곡차곡 -> 자곡자곡
2091,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,뒷산,뒤산,뒷싼,뒫산
2092,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '____ 마루에 걸린 구름이 멋져요.',뒷산,뒷싼,뒤산,뒫산
2093,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '뒷싼 마루에 걸린 구름이 멋져요.',뒷싼 -> 뒷산,뒷싼 -> 뒤산,틀린 글자가 없다.,뒷산 -> 뒷싼
2094,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,시끌벅적한,시끌벅쩍한,시끌벅적안,씨끌벅적한
2095,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '시장에는 ____ 소리가 들려요.',시끌벅적한,씨끌벅적한,시끌벅쩍한,시끌벅적안
2096,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '시장에는 씨끌벅적한 소리가 들려요.',씨끌벅적한 -> 시끌벅적한,씨끌벅적한 -> 시끌벅쩍한,틀린 글자가 없다.,시끌벅적한 -> 씨끌벅적한
2097,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,무릎,무룹,무릅,무릊
2098,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '넘어져서 다친 ____이 아팠어.',무릎,무릅,무룹,무릊
2099,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '넘어져서 다친 무릅이 아팠어.',무릅 -> 무릎,무릅 -> 무룹,틀린 글자가 없다.,무릎 -> 무릅
2100,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,반듯이,빤듯이,반드시,반드씨
2101,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '학용품을 책상 위에 ____ 놓았다.',반듯이,빤듯이,반드씨,반드시
2102,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '학용품을 책상 위에 빤듯이 놓았다.',빤듯이 -> 반듯이,빤듯이 -> 반드씨,틀린 글자가 없다.,반듯이 -> 빤듯이
2103,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,휘둥그레지다,휘둥그래지다,히둥그레지다,휘동그레지다
2104,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '놀라운 광경에 눈이 ____.',휘둥그레지다,휘둥그래지다,휘동그레지다,히둥그레지다
2105,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '놀라운 광경에 눈이 휘둥그래지다.',휘둥그래지다 -> 휘둥그레지다,휘둥그래지다 -> 휘동그레지다,틀린 글자가 없다.,휘둥그레지다 -> 휘둥그래지다
2106,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,영양분,영앙분,녕양분,영양뿐
2107,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '식물은 흙에서 ____을 얻어요.',영양분,영앙분,영양뿐,녕양분
2108,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '식물은 흙에서 영앙분을 얻어요.',영앙분 -> 영양분,영앙분 -> 영양뿐,틀린 글자가 없다.,영양분 -> 영앙분
2109,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,볼우물,볼우무,보루물,볼우믈
2110,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '웃을 때 생기는 ____이 참 예뻐요.',볼우물,보루물,볼우무,볼우믈
2111,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '웃을 때 생기는 보루물이 참 예뻐요.',보루물 -> 볼우물,보루물 -> 볼우무,틀린 글자가 없다.,볼우물 -> 보루물
2112,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,허수아비,허수애비,허수애비,허슈아비
2113,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '새떼를 쫓아 주는 ____.',허수아비,허슈아비,허수애비,허수애비
2114,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '새떼를 쫓아 주는 허슈아비.',허슈아비 -> 허수아비,허슈아비 -> 허수애비,틀린 글자가 없다.,허수아비 -> 허슈아비
2115,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,험상궂게,험상궂개,험상굿게,험상굳게
2116,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '그 물고기는 ____ 생겼어요.',험상궂게,험상굳게,험상굿게,험상궂개
2117,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '그 물고기는 험상굳게 생겼어요.',험상굳게 -> 험상궂게,험상굳게 -> 험상굿게,틀린 글자가 없다.,험상궂게 -> 험상굳게
2118,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,어깨동무,어께동무,억깨동무,어깨동모
2119,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '친한 친구와 ____한 두 사람.',어깨동무,어께동무,억깨동무,어깨동모
2120,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '친한 친구와 어께동무한 두 사람.',어께동무 -> 어깨동무,어께동무 -> 억깨동무,틀린 글자가 없다.,어깨동무 -> 어께동무
2121,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,몫,목,뫏,몱
2122,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '이건 내가 해야 할 내 ____이 너무 많다.',몫,몱,뫏,목
2123,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '이건 내가 해야 할 내 몱이 너무 많다.',몱 -> 몫,몱 -> 뫏,틀린 글자가 없다.,몫 -> 몱
2124,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,넋,넉,넏,넔
2125,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '너무 놀라서 ____이 나간 표정이구나.',넋,넏,넔,넉
2126,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '너무 놀라서 넏이 나간 표정이구나.',넏 -> 넋,넏 -> 넔,틀린 글자가 없다.,넋 -> 넏
2127,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,때때옷,대대옷,때때옫,떼떼옷
2128,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '설날에 일곱 빛 ____ 곱게 입고 세배해요.',때때옷,때때옫,대대옷,떼떼옷
2129,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '설날에 일곱 빛 때때옫 곱게 입고 세배해요.',때때옫 -> 때때옷,때때옫 -> 대대옷,틀린 글자가 없다.,때때옷 -> 때때옫
2130,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,마주 앉은,마주앉은,마주안은,마주 안은
2131,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '내 앞에 ____ 친구가 웃어요.',마주 앉은,마주 안은,마주앉은,마주안은
2132,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '내 앞에 마주 안은 친구가 웃어요.',마주 안은 -> 마주 앉은,마주 안은 -> 마주앉은,틀린 글자가 없다.,마주 앉은 -> 마주 안은
2133,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,할 수,하ㄹ수,할수,하ㄹ수
2134,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '우리는 무엇이든 ____ 있어요.',할 수,하ㄹ수,할수,하ㄹ수
2135,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '우리는 무엇이든 하ㄹ수 있어요.',하ㄹ수 -> 할 수,하ㄹ수 -> 할수,틀린 글자가 없다.,할 수 -> 하ㄹ수
2136,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,읽을 수,익을 수,읽을수,일글 수
2137,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '이 글자는 너무 작아서 ____ 없으니까 말이야.',읽을 수,익을 수,읽을수,일글 수
2138,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '이 글자는 너무 작아서 익을 수 없으니까 말이야.',익을 수 -> 읽을 수,익을 수 -> 읽을수,틀린 글자가 없다.,읽을 수 -> 익을 수
2139,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,오랫동안,오랫 동안,오래동안,오래 동안
2140,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '____ 기억해 주었으면 좋겠어.',오랫동안,오랫 동안,오래 동안,오래동안
2141,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '오랫 동안 기억해 주었으면 좋겠어.',오랫 동안 -> 오랫동안,오랫 동안 -> 오래 동안,틀린 글자가 없다.,오랫동안 -> 오랫 동안
2142,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,몇 시에,면 시에,몆 시에,몇시에
2143,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '공연은 ____ 시작하나요?',몇 시에,몇시에,몆 시에,면 시에
2144,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '공연은 몇시에 시작하나요?',몇시에 -> 몇 시에,몇시에 -> 몆 시에,틀린 글자가 없다.,몇 시에 -> 몇시에
2145,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,틀림없이,틀님없이,틀림 없이,틀림업이
2146,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '그 소리를 ____ 들었네.',틀림없이,틀림업이,틀림 없이,틀님없이
2147,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '그 소리를 틀림업이 들었네.',틀림업이 -> 틀림없이,틀림업이 -> 틀림 없이,틀린 글자가 없다.,틀림없이 -> 틀림업이
2148,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,잃어버렸다,잊어버렸다,잃어 버렸다,일어버렸다
2149,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '숲속에서 길을 ____.',잃어버렸다,일어버렸다,잊어버렸다,잃어 버렸다
2150,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '숲속에서 길을 일어버렸다.',일어버렸다 -> 잃어버렸다,일어버렸다 -> 잊어버렸다,틀린 글자가 없다.,잃어버렸다 -> 일어버렸다
2151,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,바래고,바레고,빨래고,바라고
2152,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '오래된 책의 색이 ____ 있어요.',바래고,빨래고,바레고,바라고
2153,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '오래된 책의 색이 빨래고 있어요.',빨래고 -> 바래고,빨래고 -> 바레고,틀린 글자가 없다.,바래고 -> 빨래고
2154,2,korean,다음 중 맞춤법(띄어쓰기)이 올바른 것을 고르세요.,가르쳐,가리쳐,가르처,가르켜
2155,2,korean,다음 문장의 빈칸에 들어갈 올바른 낱말은? '선생님이 국어를 ____ 주십니다.',가르쳐,가르처,가리쳐,가르켜
2156,2,korean,다음 문장에서 틀린 글자를 찾아 바르게 고친 것은? '선생님이 국어를 가르처 주십니다.',가르처 -> 가르쳐,가르처 -> 가리쳐,틀린 글자가 없다.,가르쳐 -> 가르처
